186	302	3	891717742
22	377	1	878887116
244	51	2	880606923
166	346	1	886397596
298	474	4	884182806
115	265	2	881171488
253	465	5	891628467
305	451	3	886324817
62	257	2	879372434
200	222	5	876042340
224	29	3	888104457
303	785	3	879485318
122	387	5	879270459
194	274	2	879539794
291	1042	4	874834944
234	1184	2	892079237
119	392	4	886176814
167	486	4	892738452
299	144	4	877881320
291	118	2	874833878
95	546	2	879196566
38	95	5	892430094
102	768	2	883748450
63	277	4	875747401
160	234	5	876861185
50	246	3	877052329
301	98	4	882075827
225	193	4	879539727
97	194	3	884238860
181	1081	1	878962623
278	603	5	891295330
7	32	4	891350932
10	16	4	877888877
284	304	4	885329322
201	979	2	884114233
276	564	3	874791805
242	1137	5	879741196
249	241	5	879641194
178	332	3	882823437
251	100	4	886271884
81	432	2	876535131
260	322	4	890618898
59	196	5	888205088
72	679	2	880037164
87	384	4	879877127
290	143	5	880474293
42	423	5	881107687
115	20	3	881171009
20	288	1	879667584
201	219	4	884112673
13	526	3	882141053
246	919	4	884920949
138	26	5	879024232
167	232	1	892738341
57	304	5	883698581
223	274	4	891550094
189	512	4	893277702
243	15	3	879987440
246	416	3	884923047
194	165	4	879546723
241	690	2	887249482
178	248	4	882823954
254	1444	3	886475558
293	5	3	888906576
127	229	5	884364867
225	237	5	879539643
299	229	3	878192429
225	480	5	879540748
276	54	3	874791025
291	144	5	874835091
222	366	4	878183381
267	518	5	878971773
42	403	3	881108684
11	111	4	891903862
8	338	4	879361873
162	25	4	877635573
87	1016	4	879876194
145	275	2	885557505
62	498	4	879373848
62	382	3	879375537
28	209	4	881961214
32	294	3	883709863
90	382	5	891383835
286	208	4	877531942
293	685	3	888905170
216	144	4	880234639
166	328	5	886397722
250	496	4	878090499
271	132	5	885848672
265	118	4	875320714
198	498	3	884207492
42	96	5	881107178
168	151	5	884288058
110	307	4	886987260
58	144	4	884304936
90	648	4	891384754
271	346	4	885844430
62	21	3	879373460
279	832	3	881375854
94	789	4	891720887
298	317	4	884182806
194	385	2	879524643
72	195	5	880037702
250	264	3	878089182
41	265	3	890687042
224	245	3	888082216
82	135	3	878769629
262	1147	4	879791710
293	471	3	888904884
216	658	3	880245029
250	140	3	878092059
59	23	5	888205300
244	815	4	880605185
174	368	1	886434402
87	274	4	879876734
194	1211	2	879551380
13	836	2	882139746
13	272	4	884538403
244	756	2	880605157
305	427	5	886323090
95	787	2	888954930
43	14	2	883955745
299	955	4	889502823
57	419	3	883698454
269	504	4	891449922
299	111	3	877878184
194	466	4	879525876
160	135	4	876860807
99	268	3	885678247
10	486	4	877886846
259	117	4	874724988
85	427	3	879456350
303	919	4	879467295
213	273	5	878870987
121	514	3	891387947
90	98	5	891383204
49	559	2	888067405
42	794	3	881108425
155	323	2	879371261
68	117	4	876973939
172	177	4	875537965
19	4	4	885412840
268	231	4	875744136
305	117	2	886324028
44	294	4	883612356
43	137	4	875975656
279	1336	1	875298353
254	164	4	886472768
298	281	3	884183336
279	1240	1	892174404
66	298	4	883601324
18	443	3	880130193
268	1035	2	875542174
99	79	4	885680138
26	258	3	891347949
7	455	4	891353086
222	755	4	878183481
200	673	5	884128554
213	172	5	878955442
276	322	3	874786392
130	379	4	875801662
38	328	4	892428688
26	930	2	891385985
130	216	4	875216545
92	1079	3	886443455
256	452	4	882164999
1	61	4	878542420
72	48	4	880036718
56	755	3	892910207
13	360	4	882140926
15	405	2	879455957
92	77	3	875654637
207	476	2	884386343
232	483	5	888549622
